CAPSULE_TEXT,GENRE_NAME,PRICE_RATE,CATALOG_PRICE,DISCOUNT_PRICE,DISPFROM,DISPEND,DISPPERIOD,VALIDFROM,VALIDEND,VALIDPERIOD,USABLE_DATE_MON,USABLE_DATE_TUE,USABLE_DATE_WED,USABLE_DATE_THU,USABLE_DATE_FRI,USABLE_DATE_SAT,USABLE_DATE_SUN,USABLE_DATE_HOLIDAY,USABLE_DATE_BEFORE_HOLIDAY,large_area_name,ken_name,small_area_name,COUPON_ID_hash
グルメ,グルメ,50,8000,4000,2011-07-07 12:00:00,2011-07-10 12:00:00,3,2011-07-11,2011-11-30,142,1,1,1,1,1,1,1,1,1,関東,東京都,新宿・高田馬場・中野・吉祥寺,324766d5ca086bca2547f5b8e3fda62d
グルメ,グルメ,50,1000,500,2011-07-02 12:00:00,2011-07-05 12:00:00,3,2011-07-06,2011-10-03,89,1,1,1,1,1,1,0,0,1,関東,栃木県,栃木,abcdb6b43d804d8f244b06b64e9b7fe9
グルメ,グルメ,50,2500,1250,2011-07-03 12:00:00,2011-07-04 12:00:00,1,2011-07-05,2011-12-08,156,1,1,1,1,1,1,1,1,1,関東,東京都,新宿・高田馬場・中野・吉祥寺,1ca656344cde03130fd248dde02d4138
グルメ,グルメ,50,1980,990,2011-07-14 12:00:00,2011-07-17 12:00:00,3,2011-07-18,2011-11-30,135,1,1,1,1,2,2,1,1,2,関西,大阪府,ミナミ他,9e770cf1bc1d3e3f4cc90afba9b26e7a
グルメ,グルメ,50,5000,2500,2011-09-01 12:00:00,2011-09-04 12:00:00,3,2011-09-05,2012-01-31,148,1,1,1,1,1,1,0,0,1,関東,東京都,銀座・新橋・東京・上野,00dab4a65b2456116826ad78a77f11b9
グルメ,グルメ,56,4585,2000,2011-11-02 12:00:00,2011-11-04 12:00:00,2,2011-11-05,2012-01-07,63,1,1,0,1,0,2,0,0,0,関東,東京都,銀座・新橋・東京・上野,4b7ebb0c4b4fa6a824857286fa47c0fd
グルメ,グルメ,50,5000,2500,2011-07-27 12:00:00,2011-07-29 12:00:00,2,2011-07-30,2011-10-31,93,1,1,1,1,1,1,1,1,1,九州・沖縄,福岡県,福岡,8776f1804930eaf921a8b534edfdacd6
グルメ,グルメ,50,4200,2100,2011-09-16 12:00:00,2011-09-19 12:00:00,3,2011-09-20,2012-03-17,179,1,1,1,1,2,2,1,1,2,関東,東京都,渋谷・青山・自由が丘,9db8e01d6244e2c0a552fdfeb2a57b33
グルメ,グルメ,30,2600,1820,2011-09-26 12:00:00,2011-09-28 12:00:00,2,2011-09-29,2011-11-30,62,1,1,1,1,1,1,1,1,1,関東,東京都,恵比寿・目黒・品川,17376b6660024ef8e84893cd7d7ed7fa
グルメ,グルメ,56,8000,3500,2011-07-25 12:00:00,2011-07-28 12:00:00,3,2011-07-29,2011-11-15,109,1,1,1,1,1,1,0,0,1,関東,東京都,銀座・新橋・東京・上野,919ae6b6af81a6b251a6d976ce5fe647
グルメ,グルメ,50,4232,2100,2011-09-13 12:00:00,2011-09-16 12:00:00,3,2011-09-17,2012-03-14,179,1,1,1,1,0,1,1,1,1,関東,東京都,銀座・新橋・東京・上野,71167a529964c9a2110ab9fb3fef4839
グルメ,グルメ,50,6300,3150,2011-09-20 12:00:00,2011-09-23 12:00:00,3,2011-09-24,2012-03-21,179,1,1,1,1,0,1,1,1,0,関東,東京都,銀座・新橋・東京・上野,b066c498ae5363648fa36ddf0553aeaa
グルメ,グルメ,50,6300,3150,2011-09-25 12:00:00,2011-09-28 12:00:00,3,2011-09-29,2012-03-26,179,1,1,1,1,0,0,1,1,0,関東,東京都,新宿・高田馬場・中野・吉祥寺,4028578e1dba4c53e428ca93093e50d6
グルメ,グルメ,50,6000,3000,2011-07-12 12:00:00,2011-07-15 12:00:00,3,2011-07-18,2011-09-29,73,1,1,1,1,0,0,1,1,0,関東,東京都,池袋・神楽坂・赤羽,60aa08a55889b0cee783dc6063095159
グルメ,グルメ,50,6000,3000,2011-07-08 12:00:00,2011-07-11 12:00:00,3,2011-07-12,2011-09-29,79,1,1,1,1,0,0,1,1,0,関東,東京都,池袋・神楽坂・赤羽,76ef48ce34b74132785f1313321ef831
グルメ,グルメ,50,6000,3000,2011-07-04 12:00:00,2011-07-06 12:00:00,2,2011-07-07,2011-09-30,85,1,1,1,1,1,1,1,1,1,関東,東京都,新宿・高田馬場・中野・吉祥寺,d726b5940cfbe860822624080ddb32b3
グルメ,グルメ,52,16940,8000,2011-08-05 12:00:00,2011-08-09 12:00:00,4,2011-08-10,2011-11-30,112,1,1,1,1,1,1,1,1,1,関東,東京都,恵比寿・目黒・品川,b9c4b3a5219982dbe51b0341945500ce
グルメ,グルメ,52,3350,1600,2011-09-20 12:00:00,2011-09-22 12:00:00,2,2011-09-23,2012-03-20,179,1,1,1,1,1,1,1,1,1,関東,東京都,新宿・高田馬場・中野・吉祥寺,98a03d63ea1f96ec2890f0707c63ae6c
グルメ,グルメ,50,7000,3500,2011-07-09 12:00:00,2011-07-12 12:00:00,3,2011-07-13,2011-09-22,71,1,1,1,1,1,1,1,1,1,関東,東京都,銀座・新橋・東京・上野,b00b28a7d719163bd802107a0166ad9d
グルメ,グルメ,50,2010,1000,2011-09-09 12:00:00,2011-09-12 12:00:00,3,2011-09-13,2012-03-10,179,1,1,1,1,1,1,1,1,1,九州・沖縄,福岡県,福岡,4b47c0735ce9e3d9150b3ee63331cfdb
グルメ,グルメ,90,5000,500,2011-07-06 12:00:00,2011-07-07 12:00:00,1,2011-07-08,2011-12-30,175,1,1,1,1,1,1,1,1,1,九州・沖縄,福岡県,福岡,eb0ce0c46f4e18048b4aa63d07759e98
グルメ,グルメ,50,5775,2880,2011-09-15 12:00:00,2011-09-22 12:00:00,7,2011-09-24,2012-02-29,158,1,1,1,1,1,1,1,1,1,関東,東京都,赤坂・六本木・麻布,43c0b20de767a0d3009cb5c6d00410f7
グルメ,グルメ,54,8470,3850,2011-09-09 12:00:00,2011-09-12 12:00:00,3,2011-09-13,2012-02-29,169,1,1,1,1,1,1,1,1,1,関東,東京都,渋谷・青山・自由が丘,68743bf5b4897f30e6817a50400c1d14
グルメ,グルメ,50,2500,1250,2011-09-17 12:00:00,2011-09-19 12:00:00,2,2011-09-20,2012-02-29,162,0,1,1,1,0,0,1,0,0,北海道,北海道,北海道,7e689bdee6322e9eb43926df80cfde00
グルメ,グルメ,40,3300,1980,2011-07-13 12:00:00,2011-07-15 12:00:00,2,2011-07-19,2011-10-31,104,1,1,1,1,0,0,0,0,0,関西,大阪府,ミナミ他,6e63e07ce73d2da81cc3a79aca90fc5e
グルメ,グルメ,50,7000,3500,2011-09-01 12:00:00,2011-09-05 12:00:00,4,2011-09-06,2012-02-29,176,1,1,1,1,2,2,1,1,2,関東,神奈川県,横浜,bb6c3480a85c72721e3288a1bed44cb5
グルメ,グルメ,50,2400,1200,2011-07-17 12:00:00,2011-07-19 12:00:00,2,2011-07-20,2011-10-31,103,1,1,1,1,0,0,1,1,0,関東,神奈川県,横浜,6938f9edefa8c3632dc96b1c11e7779a
グルメ,グルメ,52,2340,1100,2011-08-29 12:00:00,2011-08-31 12:00:00,2,2011-09-01,2012-02-26,178,0,1,1,1,1,1,1,1,1,北海道,北海道,北海道,a3f7b2f00eb95d7264c10ec43d60ec41
グルメ,グルメ,50,4000,1980,2011-07-22 12:00:00,2011-07-24 12:00:00,2,2011-07-25,2011-11-30,128,1,1,1,1,0,0,1,0,0,北海道,北海道,北海道,a03777210de5b5dd07d390c2142199c9
グルメ,グルメ,50,6400,3200,2011-09-17 12:00:00,2011-09-20 12:00:00,3,2011-09-21,2011-12-08,78,1,1,1,1,1,0,0,0,1,関東,東京都,渋谷・青山・自由が丘,a2033751b75aaca64c8dd0654a01683e
グルメ,グルメ,50,3150,1575,2011-09-20 12:00:00,2011-09-22 12:00:00,2,2011-09-25,2011-11-30,66,1,1,1,1,0,0,1,1,0,東北,宮城県,宮城,a21f8b6501cca00dd1fce19b30e109fd
グルメ,グルメ,51,6000,2900,2011-09-21 12:00:00,2011-09-25 12:00:00,4,2011-09-26,2011-11-30,65,1,1,1,1,0,0,1,1,0,東北,宮城県,宮城,51282083dc8c6a470fb69dff63c20dda
グルメ,グルメ,50,1400,700,2011-09-26 12:00:00,2011-09-28 12:00:00,2,2011-09-29,2012-03-25,178,1,0,1,1,1,1,1,1,1,北海道,北海道,北海道,186400cc323b50569a0bf7918fe33b88
グルメ,グルメ,50,7425,3712,2011-08-31 12:00:00,2011-09-02 12:00:00,2,2011-09-04,2011-11-30,87,1,1,1,1,1,1,1,1,1,北海道,北海道,北海道,57133b3fafd12c69e8958fe82dbbd5a4
グルメ,グルメ,51,2010,980,2011-09-20 12:00:00,2011-09-22 12:00:00,2,2011-10-03,2012-03-22,171,1,1,1,1,0,0,1,1,0,北海道,北海道,北海道,2e9f45a31fae751a1162ba83a8074a95
グルメ,グルメ,50,6000,2980,2011-09-01 12:00:00,2011-09-04 12:00:00,3,2011-09-05,2012-03-02,179,1,1,1,1,0,0,1,1,0,北海道,北海道,北海道,6026308cd75c28da199e68e2f75b3c70
グルメ,グルメ,58,6000,2500,2011-06-30 12:00:00,2011-07-02 12:00:00,2,2011-07-03,2011-12-29,179,1,1,1,1,1,1,1,1,1,北海道,北海道,北海道,c6efaa51985f5589ca5417a3faf25acc
グルメ,グルメ,86,3454,480,2011-09-20 12:00:00,2011-09-23 12:00:00,3,2011-10-03,2012-02-29,149,1,1,1,1,0,0,0,0,0,関東,栃木県,栃木,ec6e3e31f858e04b7cbf3f322bdf057d
グルメ,グルメ,50,5500,2750,2011-09-02 12:00:00,2011-09-05 12:00:00,3,2011-09-06,2012-02-05,152,1,1,1,1,0,0,1,1,0,北海道,北海道,北海道,b0fae8092d5e8c5aeef142b8ae601746
グルメ,グルメ,58,6000,2500,2011-07-19 12:00:00,2011-07-22 12:00:00,3,2011-07-28,2011-11-30,125,1,1,1,1,1,1,1,1,1,関東,東京都,銀座・新橋・東京・上野,94cc01201e1155f41bd20546f8173608
グルメ,グルメ,50,3160,1580,2011-10-03 12:00:00,2011-10-05 12:00:00,2,2011-10-06,2012-04-02,179,1,1,1,1,1,1,0,0,1,関東,東京都,銀座・新橋・東京・上野,aef7fe0d17ab317a04220163395c1f37
グルメ,グルメ,50,4960,2480,2011-09-22 12:00:00,2011-09-25 12:00:00,3,2011-10-03,2012-02-29,149,1,1,1,1,0,0,0,0,0,関東,栃木県,栃木,067ffe97895f1d0c1a6a0248f50c0f64
グルメ,グルメ,50,6000,2980,2011-07-28 12:00:00,2011-08-04 12:00:00,7,2011-08-07,2011-11-30,115,1,1,1,1,0,0,1,1,0,北海道,北海道,北海道,0758ea14a79072003f71cb3bb0aadbe9
グルメ,グルメ,50,4480,2240,2011-07-08 12:00:00,2011-07-15 12:00:00,7,2011-07-16,2011-11-30,137,1,1,1,1,2,2,1,1,2,九州・沖縄,福岡県,福岡,e38d843c1c128cebeb877ec584429e26
グルメ,グルメ,50,3000,1500,2011-09-15 12:00:00,2011-09-18 12:00:00,3,2011-09-20,2012-01-31,133,1,1,1,1,0,0,0,1,0,東北,福島県,福島,79e1b23441263f7541fd42c3af900780
グルメ,グルメ,50,2000,1000,2011-09-02 12:00:00,2011-09-04 12:00:00,2,2011-09-07,2012-02-27,173,1,1,1,1,1,1,1,1,1,北海道,北海道,北海道,3a3d0578e855845b3c97b2466764889a
グルメ,グルメ,52,1050,500,2011-07-16 12:00:00,2011-07-19 12:00:00,3,2011-08-02,2011-10-31,90,0,1,1,1,1,1,1,1,1,九州・沖縄,大分県,大分,0602f115aa3220db7cc16930f5f1326c
グルメ,グルメ,50,3000,1500,2011-09-26 12:00:00,2011-09-29 12:00:00,3,2011-10-03,2012-01-31,120,1,1,1,1,0,0,0,1,1,四国,高知県,高知,281879ab68cbc08fc60fd1aa9f25b898
グルメ,グルメ,50,3090,1540,2011-07-07 12:00:00,2011-07-09 12:00:00,2,2011-07-10,2011-10-10,92,1,1,1,1,1,1,1,1,1,関東,東京都,新宿・高田馬場・中野・吉祥寺,07401c04a7d444eec3f8b6cfaa9347de
グルメ,グルメ,50,5000,2500,2011-07-20 12:00:00,2011-07-22 12:00:00,2,2011-07-23,2011-11-24,124,1,1,1,1,0,1,1,1,0,北海道,北海道,北海道,26323d52231519d34290d2dd0ce9ae43
グルメ,グルメ,50,2500,1250,2011-09-01 12:00:00,2011-09-03 12:00:00,2,2011-09-06,2012-02-29,176,1,1,1,1,0,0,1,1,0,北海道,北海道,北海道,18ce2c7fa0c2b5102328e553008ecb9f
グルメ,グルメ,52,1880,900,2011-08-23 12:00:00,2011-08-25 12:00:00,2,2011-08-26,2011-11-30,96,1,1,1,1,1,1,0,1,1,北海道,北海道,北海道,f31a5da396b904b4a2f6ecdf8e49389f
グルメ,グルメ,50,5000,2500,2011-07-02 12:00:00,2011-07-04 12:00:00,2,2011-07-05,2011-11-30,148,0,1,1,1,1,1,1,1,1,東海,愛知県,愛知,18d8f4217a5ce67a143498507f4ea51d
グルメ,グルメ,50,1960,980,2011-09-03 12:00:00,2011-09-05 12:00:00,2,2011-09-06,2011-11-30,85,1,1,1,1,0,0,0,1,0,北海道,北海道,北海道,39a58c943591d2357afd469af8a78f35
グルメ,グルメ,52,3180,1500,2011-07-07 12:00:00,2011-07-08 12:00:00,1,2011-07-09,2011-09-30,83,1,1,1,0,1,1,1,1,1,北海道,北海道,北海道,2c8b5dd98024d6e0b8ea9ad4e7795b11
グルメ,グルメ,50,2800,1400,2011-07-14 12:00:00,2011-07-16 12:00:00,2,2011-07-17,2011-10-31,106,1,0,1,1,1,1,1,1,1,北海道,北海道,北海道,7ef697780abc0d945e065e4ace3c5f1e
グルメ,グルメ,50,2770,1380,2011-09-22 12:00:00,2011-09-24 12:00:00,2,2011-09-25,2012-02-29,157,1,1,1,1,2,2,1,1,2,北海道,北海道,北海道,3dd73fa794f949e04a41b52667d442f9
グルメ,グルメ,50,4000,2000,2011-09-28 12:00:00,2011-10-01 12:00:00,3,2011-10-02,2012-02-29,150,1,1,1,1,1,1,1,1,1,関東,東京都,銀座・新橋・東京・上野,6e9a5bfbb1be45a2e610a41c26107fe3
グルメ,グルメ,50,3000,1500,2011-07-13 12:00:00,2011-07-16 12:00:00,3,2011-07-17,2011-10-31,106,1,1,0,1,1,1,1,1,1,関東,東京都,立川・町田・八王子他,471cd5153363e987d1bbd9224e4996ed
グルメ,グルメ,69,9900,3000,2011-09-27 12:00:00,2011-09-29 12:00:00,2,2011-09-30,2012-03-27,179,1,1,1,1,1,1,1,1,1,関東,東京都,立川・町田・八王子他,f780fd788e8fbf4a39371e4692ec6ab1
グルメ,グルメ,51,6550,3200,2011-07-16 12:00:00,2011-07-18 12:00:00,2,2011-07-19,2012-01-14,179,0,1,1,1,0,0,1,1,1,関東,東京都,立川・町田・八王子他,2c96a9bb4030efb8608332f13fe4816d
グルメ,グルメ,51,3708,1800,2011-08-03 12:00:00,2011-08-06 12:00:00,3,2011-08-07,2012-02-02,179,2,1,1,1,1,1,1,1,1,関東,東京都,立川・町田・八王子他,156219b6e410fc1f2d8716dbd39595ba
グルメ,グルメ,50,4760,2380,2011-07-15 12:00:00,2011-07-18 12:00:00,3,2011-07-19,2012-01-14,179,1,1,1,1,0,0,1,1,0,関東,東京都,立川・町田・八王子他,ae40fa4ca8994fda1431808f0693a8d3
グルメ,グルメ,51,7171,3480,2011-09-19 12:00:00,2011-09-22 12:00:00,3,2011-09-23,2012-03-20,179,1,1,1,1,1,1,0,1,1,関東,東京都,渋谷・青山・自由が丘,9b66d0d2fa08dd7060419de054fcbc78
グルメ,グルメ,50,10000,4980,2011-09-12 12:00:00,2011-09-14 12:00:00,2,2011-09-15,2012-03-12,179,1,1,1,1,0,0,0,1,0,北海道,北海道,北海道,98d43e79d7bb5110dfe74edd1c48d805
グルメ,グルメ,84,1290,199,2011-07-14 12:00:00,2011-07-16 12:00:00,2,2011-07-17,2011-09-30,75,1,1,1,1,1,1,1,1,1,関東,東京都,銀座・新橋・東京・上野,15e8005b9bd30bc1f6040af6c7a1d371
グルメ,グルメ,84,1290,199,2011-07-12 12:00:00,2011-07-14 12:00:00,2,2011-07-15,2011-09-30,77,1,1,1,1,0,1,1,1,0,関東,東京都,銀座・新橋・東京・上野,a10a83f8eadb135651e67e5b031f88f7
グルメ,グルメ,50,6000,2980,2011-09-22 12:00:00,2011-09-24 12:00:00,2,2011-09-26,2012-02-28,155,1,1,1,1,0,0,1,2,0,北海道,北海道,北海道,d69c40f169661de6606decb73cda901b
グルメ,グルメ,50,4000,2000,2011-07-11 12:00:00,2011-07-13 12:00:00,2,2011-07-14,2011-11-30,139,1,1,1,1,0,0,1,1,0,北海道,北海道,北海道,4be0697680e641b21325628960f9ad05
グルメ,グルメ,50,3300,1650,2011-09-24 12:00:00,2011-09-26 12:00:00,2,2011-09-27,2012-03-24,179,1,1,1,1,1,1,1,1,1,北海道,北海道,北海道,0648c05caa26c2533fc695f9d7d5f672
グルメ,グルメ,50,1700,850,2011-07-07 12:00:00,2011-07-09 12:00:00,2,2011-07-11,2011-10-31,112,1,1,1,1,1,1,0,1,1,中国,広島県,広島,adee5aea271ef72c80676930eb1c1682
グルメ,グルメ,51,4980,2400,2011-07-14 12:00:00,2011-07-16 12:00:00,2,2011-07-19,2011-09-29,72,1,1,1,1,0,0,0,0,0,中国,広島県,広島,5facc2c8bcb02e93e59c81685d8ea81c
グルメ,グルメ,50,2500,1250,2011-09-22 12:00:00,2011-09-24 12:00:00,2,2011-09-25,2011-11-30,66,1,1,1,1,1,1,1,1,1,中国,広島県,広島,cb17f735845cb17cd01effca6d1e07e3
グルメ,グルメ,50,3000,1500,2011-07-25 12:00:00,2011-07-27 12:00:00,2,2011-07-28,2011-11-30,125,1,1,1,1,0,0,1,1,0,中国,広島県,広島,880b560a234e859da163a2a83fa54de8
グルメ,グルメ,50,3024,1500,2011-07-20 12:00:00,2011-07-23 12:00:00,3,2011-07-24,2011-11-30,129,1,1,1,1,1,1,1,1,1,中国,広島県,広島,a375bc710054b381943282de13a62e59
グルメ,グルメ,50,4179,2089,2011-09-26 12:00:00,2011-09-28 12:00:00,2,2011-09-29,2011-12-08,70,1,1,1,1,0,0,0,0,0,中国,広島県,広島,1ede1e9d563ca676c356af05911686fc
グルメ,グルメ,50,4480,2240,2011-09-18 12:00:00,2011-09-20 12:00:00,2,2011-09-21,2012-03-08,169,1,1,1,1,0,0,1,1,0,中国,広島県,広島,fcb32d42693c171f7a86e047ecee4b97
グルメ,グルメ,50,4179,2089,2011-09-20 12:00:00,2011-09-22 12:00:00,2,2011-09-26,2011-12-08,73,1,1,1,1,0,0,0,0,0,中国,広島県,広島,9903f38381b33bc3a461312e61005b11
グルメ,グルメ,50,2000,1000,2011-09-10 12:00:00,2011-09-12 12:00:00,2,2011-09-13,2012-01-25,134,1,1,1,1,1,0,0,0,1,中国,広島県,広島,5f4a2c8696986475b743481c9203766b
グルメ,グルメ,50,2000,1000,2011-10-29 12:00:00,2011-11-01 12:00:00,3,2011-11-03,2012-04-29,178,0,1,1,1,0,0,1,1,0,中国,広島県,広島,3d509331dd874d26ccb758a771ba3a1f
グルメ,グルメ,50,5000,2500,2011-08-03 12:00:00,2011-08-06 12:00:00,3,2011-08-07,2011-11-17,102,1,1,1,1,0,0,1,1,0,中国,広島県,広島,53df780a9258394110049aa054d60001
グルメ,グルメ,50,3000,1500,2011-06-30 12:00:00,2011-07-01 12:00:00,1,2011-07-03,2011-11-30,150,1,0,1,1,0,0,1,0,0,中国,広島県,広島,11a522c527109ccf10c2a84ffbf3c2b3
グルメ,グルメ,50,5000,2500,2011-07-12 12:00:00,2011-07-15 12:00:00,3,2011-07-19,2011-11-10,114,1,1,1,1,0,0,1,1,0,中国,広島県,広島,e74099a44cb15ae4dd7c4c5c5aef1223
グルメ,グルメ,61,5200,2000,2011-08-30 12:00:00,2011-09-02 12:00:00,3,2011-09-03,2012-02-29,179,1,1,1,1,1,1,0,1,1,中国,広島県,広島,6c12dde386538c008af00711911d16d4
グルメ,グルメ,50,5000,2500,2011-08-19 12:00:00,2011-08-21 12:00:00,2,2011-08-22,2011-11-30,100,1,1,1,1,0,0,1,1,0,中国,広島県,広島,3e3d417daf18e95fa0ead77c4b5948b5
グルメ,グルメ,50,3000,1500,2011-08-31 12:00:00,2011-09-02 12:00:00,2,2011-09-05,2011-11-30,86,1,1,1,1,0,0,0,0,0,中国,広島県,広島,61ad0253ea426a710219be23b3dc4ac6
グルメ,グルメ,50,5800,2900,2011-09-19 12:00:00,2011-09-21 12:00:00,2,2011-09-25,2012-02-29,157,0,2,1,1,0,0,1,1,0,中国,広島県,広島,8dcb8c6c54adac6f5c69bf760c89e8e1
グルメ,グルメ,50,5000,2500,2011-06-28 12:00:00,2011-07-05 12:00:00,7,2011-07-06,2011-11-30,147,1,2,1,1,1,1,1,1,1,中国,広島県,広島,89acdbc66e45a891cbf3d3f133d8932d
グルメ,グルメ,50,6000,3000,2011-07-28 12:00:00,2011-07-30 12:00:00,2,2011-07-31,2012-01-26,179,1,1,1,1,0,0,1,1,0,中国,広島県,広島,f0971b945327b15e06a7e410d3aa4ea4
グルメ,グルメ,50,5000,2500,2011-09-22 12:00:00,2011-09-25 12:00:00,3,2011-09-28,2012-03-25,179,1,0,1,1,1,1,1,1,1,北信越,新潟県,新潟,9b7ac4eedea49f4181a53821f93a943f
グルメ,グルメ,50,3129,1560,2011-07-11 12:00:00,2011-07-13 12:00:00,2,2011-07-14,2011-11-11,120,1,1,1,1,1,0,0,0,1,関西,大阪府,ミナミ他,f420e440ee0b171228ca5710bc0a0f94
